몬스터ID,몬스터명,MVP,레벨,종족,속성,드롭1,확률1,드롭2,확률2,드롭3,확률3,드롭4,확률4,드롭5,확률5,드롭6,확률6,드롭7,확률7,드롭8,확률8,MVP드롭1,MVP확률1,MVP드롭2,MVP확률2,MVP드롭3,MVP확률3
1002,Poring,,1,식물,물,Jellopy,70.00%,Knife_,1.00%,Sticky_Mucus,4.00%,Apple,10.00%,Empty_Bottle,15.00%,Apple,1.50%,Unripe_Apple,0.20%,Poring_Card,0.01%,,,,,,
1078,Red Plant,,1,식물,땅,Red_Herb,55.00%,Flower,10.00%,Shoot,10.00%,Stem,5.00%,Pointed_Scale,3.00%,Fluff,5.00%,Ment,0.50%,Centimental_Flower,0.02%,,,,,,
1079,Blue Plant,,1,식물,땅,Blue_Herb,55.00%,Flower,10.00%,Shoot,10.00%,Stem,5.00%,Pointed_Scale,3.00%,Fruit_Of_Mastela,0.50%,Grape,10.00%,Centimental_Leaf,0.02%,,,,,,
1080,Green Plant,,1,식물,땅,Green_Herb,70.00%,Flower,10.00%,Bitter_Herb,0.20%,Stem,30.00%,Pointed_Scale,15.00%,Aloe,0.50%,Leaflet_Of_Aloe,0.50%,Centimental_Leaf,0.02%,,,,,,
1081,Yellow Plant,,1,식물,땅,Yellow_Herb,55.00%,Flower,10.00%,Shoot,10.00%,Stem,5.00%,Pointed_Scale,3.00%,Singing_Plant,0.05%,Fluff,5.00%,Centimental_Flower,0.02%,,,,,,
1082,White Plant,,1,식물,땅,White_Herb,55.00%,Flower,10.00%,Deadly_Noxious_Herb,0.20%,Stem,30.00%,Pointed_Scale,15.00%,Leaflet_Of_Aloe,0.50%,Hinalle,0.50%,Centimental_Flower,0.02%,,,,,,
1083,Shining Plant,,1,식물,성,Blue_Herb,55.00%,Yellow_Herb,10.00%,White_Herb,10.00%,Illusion_Flower,0.05%,Seed_Of_Yggdrasil,0.20%,Honey,5.00%,Yggdrasilberry,0.50%,Emperium,0.01%,,,,,,
1084,Black Mushroom,,1,식물,땅,Alchol,0.50%,Detrimindexta,0.50%,Dew_Laden_Moss,0.20%,Feather,20.00%,Crystal_Blue,8.00%,Mushroom_Spore,55.00%,Mushroom_Spore,55.00%,Poison_Spore,55.00%,,,,,,
1085,Red Mushroom,,1,식물,땅,Alchol,0.50%,Karvodailnirol,0.50%,Dew_Laden_Moss,0.20%,Feather,20.00%,Boody_Red,10.00%,Mushroom_Spore,55.00%,Mushroom_Spore,55.00%,Poison_Spore,55.00%,,,,,,
1182,Thief Mushroom,,1,식물,땅,Mushroom_Of_Thief_1,15.00%,Mushroom_Of_Thief_2,30.00%,,,,,,,,,,,,,,,,,,
1184,Fabre,,1,곤충,땅,Fluff,20.00%,Feather,2.50%,Club_,0.80%,Azure_Jewel,0.02%,Green_Herb,3.50%,Clover,5.00%,Club,2.00%,,,,,,,,
1187,Switch,,1,무형,무속성,,,,,,,,,,,,,,,,,,,,,,
1395,Wind Crystal,,1,무형,무속성,Piece_Of_Cake,38.00%,Candy_Striper,45.00%,White_Chocolate,50.00%,Gift_Box_2,49.00%,Cone_Hat_,70.00%,Banana_Juice,65.00%,Chocolate,50.00%,Yggdrasilberry,2.00%,,,,,,
1396,Earth Crystal,,1,무형,무속성,Piece_Of_Cake,38.00%,Candy_Striper,45.00%,White_Chocolate,50.00%,Gift_Box_4,49.00%,Cone_Hat_,70.00%,Apple_Juice,65.00%,Chocolate,50.00%,Seed_Of_Yggdrasil,2.50%,,,,,,
1397,Fire Crystal,,1,무형,무속성,Piece_Of_Cake,38.00%,Candy_Striper,45.00%,White_Chocolate,50.00%,Gift_Box_1,49.00%,Cone_Hat_,70.00%,Carrot_Juice,65.00%,Chocolate,50.00%,Branch_Of_Dead_Tree,3.00%,,,,,,
1398,Water Crystal,,1,무형,무속성,Piece_Of_Cake,38.00%,Candy_Striper,45.00%,White_Chocolate,50.00%,Gift_Box_3,49.00%,Cone_Hat_,70.00%,Grape_Juice,65.00%,Chocolate,50.00%,Old_Blue_Box,1.00%,,,,,,
1725,Poring,,1,식물,물,,,,,,,,,,,,,,,,,,,,,,
1750,Red Plant,,1,식물,땅,,,,,,,,,,,,,,,,,,,,,,
1792,Soccer Ball,,1,무형,무속성,,,,,,,,,,,,,,,,,,,,,,
1877,Crystal,,1,무형,무속성,GOLD_ID4,0.10%,Gift_Box,1.00%,,,,,,,,,,,,,,,,,,
1878,Shining Plant,,1,식물,성,Love_Flower,30.00%,Pointed_Scale,15.00%,Green_Herb,5.00%,Red_Herb,20.00%,Yellow_Herb,15.00%,Fluff,5.00%,,,,,,,,,,
