ID,AegisName,이름(영),MVP,레벨,HP,BaseEXP,JobEXP,ATK(min),ATK(max),DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,크기,종족,속성,속성레벨,사거리,공격딜레이,AI
1002,PORING,Poring,,1,50,2,1,7,10,0,5,0,0,0,0,6,30,중형,식물,물,1,1,1872,2
1078,RED_PLANT,Red Plant,,1,10,0,0,1,2,100,99,0,0,0,0,0,0,소형,식물,땅,1,1,1,
1079,BLUE_PLANT,Blue Plant,,1,10,0,0,1,2,100,99,0,0,0,0,0,0,소형,식물,땅,1,1,1,
1080,GREEN_PLANT,Green Plant,,1,10,0,0,1,2,100,99,0,0,0,0,0,0,소형,식물,땅,1,1,1,
1081,YELLOW_PLANT,Yellow Plant,,1,10,0,0,1,2,100,99,0,0,0,0,0,0,소형,식물,땅,1,1,1,
1082,WHITE_PLANT,White Plant,,1,10,0,0,1,2,100,99,0,0,0,0,0,0,소형,식물,땅,1,1,1,
1083,SHINING_PLANT,Shining Plant,,1,20,0,0,1,2,100,99,0,0,0,0,0,90,소형,식물,성,1,1,1,
1084,BLACK_MUSHROOM,Black Mushroom,,1,15,0,0,1,2,100,99,0,0,0,0,0,0,소형,식물,땅,1,1,1,
1085,RED_MUSHROOM,Red Mushroom,,1,15,0,0,1,2,100,99,0,0,0,0,0,0,소형,식물,땅,1,1,1,
1182,THIEF_MUSHROOM,Thief Mushroom,,1,15,0,0,1,2,100,99,0,0,0,0,0,0,소형,식물,땅,1,1,1,
1184,FABRE_,Fabre,,1,30,1,0,4,7,0,0,0,2,0,0,4,5,소형,곤충,땅,1,1,1672,4
1187,SWITCH,Switch,,1,2,1,1,1,2,0,0,0,0,0,0,0,0,중형,무형,무속성,1,1,1,
1395,CRYSTAL_1,Wind Crystal,,1,15,0,0,0,0,100,99,0,0,0,0,999,0,소형,무형,무속성,1,0,0,25
1396,CRYSTAL_2,Earth Crystal,,1,15,0,0,0,0,100,99,0,0,0,0,999,0,소형,무형,무속성,1,0,0,25
1397,CRYSTAL_3,Fire Crystal,,1,15,0,0,0,0,100,99,0,0,0,0,999,0,소형,무형,무속성,1,0,0,25
1398,CRYSTAL_4,Water Crystal,,1,15,0,0,0,0,100,99,0,0,0,0,999,0,소형,무형,무속성,1,0,0,25
1725,R_PORING,Poring,,1,50,0,0,7,10,0,5,0,0,0,0,6,30,중형,식물,물,1,1,1872,2
1750,G_RED_PLANT,Red Plant,,1,100,0,0,100,200,100,99,0,0,0,0,0,100,소형,식물,땅,1,1,1,
1792,SOCCER_BALL,Soccer Ball,,1,1000,0,0,0,0,127,99,0,0,0,0,0,0,소형,무형,무속성,1,0,96,
1877,CRYSTAL_5,Crystal,,1,15,0,0,0,0,100,99,0,0,0,0,999,0,소형,무형,무속성,1,0,0,25
1878,E_SHINING_PLANT,Shining Plant,,1,20,0,0,1,2,100,99,0,0,0,0,0,90,소형,식물,성,1,1,1,
1951,CRYSTAL_6,Crystal,,1,15,0,0,0,0,100,99,0,0,0,0,999,0,소형,무형,무속성,1,0,0,25
1952,CRYSTAL_7,Crystal,,1,15,0,0,0,0,100,99,0,0,0,0,999,0,소형,무형,무속성,1,0,0,25
1953,CRYSTAL_8,Crystal,,1,15,0,0,0,0,100,99,0,0,0,0,999,0,소형,무형,무속성,1,0,0,25
1954,CRYSTAL_9,Crystal,,1,15,0,0,0,0,100,99,0,0,0,0,999,0,소형,무형,무속성,1,0,0,25
1973,E_PORING,Poring,,1,50,2,1,7,10,0,5,0,0,0,0,6,30,중형,식물,물,1,1,1872,
