ID,AegisName,이름(영),레벨,HP,BaseEXP,JobEXP,MvpEXP,ATK(min),ATK(max),DEF,MDEF,AGI,INT,DEX,크기,종족,속성,MVP드롭1,MVP확률1,MVP드롭2,MVP확률2,MVP드롭3,MVP확률3,일반드롭(요약)
1086,GOLDEN_BUG,Golden Thief Bug,64,126000,14300,7150,7150,870,1145,60,45,75,45,85,대형,곤충,불,Gold_Ring,20.00%,Ora_Ora,10.00%,,,Gold(10.00%) / Golden_Mace(1.50%) / Golden_Gear(2.50%) / Golden_Bell(5.00%) / Emperium(3.00%) / Elunium(20.00%) / Oridecon(15.00%) / Golden_Bug_Card(0.01%)
1115,EDDGA,Eddga,65,152000,25025,12870,12512,1215,1565,15,15,70,66,90,대형,동물,불,Tiger's_Skin,50.00%,Tiger_Footskin,10.00%,Flame_Heart,30.00%,Fire_Brand(1.50%) / Smoking_Pipe(2.50%) / Honey(100.00%) / Katar_Of_Raging_Blaze(5.00%) / Tiger_Footskin(2.50%) / Elunium(23.00%) / Krieg(1.00%) / Eddga_Card(0.01%)
1150,MOONLIGHT,Moonlight Flower,67,120000,27500,14300,13750,1200,1700,10,55,99,82,95,중형,악마,불,Fox_Tail,50.00%,White_Potion,15.00%,Golden_Jewel,5.00%,Spectral_Spear(5.00%) / Moonlight_Sword(1.00%) / Long_Mace(1.50%) / Punisher(5.00%) / Silver_Knife_Of_Chaste(6.50%) / Elunium(26.00%) / Staff_Of_Bordeaux(1.00%) / Moonlight_Flower_Card(0.01%)
1399,EVENT_BAPHO,Baphomet,68,1264000,261750,83685,130875,1847,2267,35,45,152,85,120,대형,악마,어둠,Yggdrasilberry,55.00%,Royal_Jelly,50.00%,Crystal_Jewel__,50.00%,Pole_Axe(5.50%) / War_Axe(6.80%) / Holy_Avenger(4.80%) / Holy_Guard(6.40%) / Holy_Robe(15.00%) / Herald_Of_GOD(5.00%) / Ring_(17.20%) / Magestic_Goat(15.50%)
1159,PHREEONI,Phreeoni,69,188000,32175,16445,16087,880,1530,10,20,85,35,130,대형,동물,무속성,Frozen_Heart,5.00%,Crystal_Jewel,10.00%,Star_Crumb,40.00%,Thin_N'_Long_Tongue(97.00%) / Forturn_Sword(5.00%) / Sucsamad(1.50%) / Jaws_Of_Ant(50.00%) / Mr_Scream(3.00%) / Elunium(29.00%) / Weihna(1.00%) / Phreeoni_Card(0.01%)
1112,DRAKE,Drake,70,326666,28600,22880,14300,1800,2100,20,35,80,75,79,중형,언데드,불사,White_Potion,50.00%,Violet_Jewel,5.00%,,,Saber_(6.00%) / Ring_Pommel_Saber_(9.50%) / Cutlas(1.50%) / Hae_Dong_Gum_(4.00%) / Corsair(3.50%) / Elunium(32.00%) / Krasnaya(1.00%) / Drake_Card(0.01%)
1583,TAO_GUNKA,Tao Gunka,70,193000,59175,10445,29587,1450,1770,20,20,85,35,140,대형,악마,무속성,Oridecon,60.00%,Old_Violet_Box,30.00%,Blue_Potion,60.00%,Gemstone(48.50%) / Stone_Piece(48.50%) / Golden_Jewel(10.00%) / Binoculars(4.00%) / White_Potion(30.00%) / Iron_Ore(10.00%) / Gemmed_Sallet_(0.05%) / Tao_Gunka_Card(0.01%)
1492,INCANTATION_SAMURAI,Samurai Specter,71,218652,33095,18214,16547,2219,3169,10,51,85,85,150,대형,인간형,어둠,Yggdrasilberry,55.00%,Seed_Of_Yggdrasil,35.00%,Elunium,55.00%,Masamune(0.02%) / Elunium(35.00%) / Assassin_Mask_(5.00%) / Yggdrasilberry(45.00%) / Steel(63.05%) / Huuma_Blaze(75.00%) / Azoth(0.80%) / Incant_Samurai_Card(0.01%)
1046,DOPPELGANGER,Doppelganger,72,249000,51480,10725,25740,1340,1590,60,35,90,35,125,중형,악마,어둠,Cardinal_Jewel_,15.00%,Blue_Potion,60.00%,,,Plate_Armor_(2.50%) / Broad_Sword_(2.20%) / Zweihander(1.50%) / Sharp_Gear(3.50%) / Lance_(5.50%) / Elunium(36.86%) / Oridecon(27.00%) / Doppelganger_Card(0.01%)
1252,GARM,Hatii,73,197000,50050,20020,25025,1700,1900,40,45,126,65,95,대형,동물,물,Fang_Of_Garm,10.00%,Old_Blue_Box,30.00%,Mistic_Frozen,30.00%,Fang_Of_Garm(55.00%) / Ice_Falchon(1.50%) / Katar_Of_Cold_Icicle(5.00%) / Claw_Of_Garm(5.00%) / Elunium(39.77%) / Oridecon(29.00%) / Garm_Card(0.01%)
1418,DARK_SNAKE_LORD,Evil Snake Lord,73,254993,34288,17950,17144,2433,4210,25,55,83,80,164,대형,동물,유령,Yggdrasilberry,55.00%,Old_Violet_Box,50.00%,Elunium,55.00%,Taegeuk_Plate(58.20%) / Sword_Of_Grave_Keeper(51.00%) / Hell_Fire(0.80%) / Ph.D_Hat(0.80%) / Gae_Bolg(5.00%) / Pill(9.00%) / Sway_Apron(20.00%) / Dark_Snake_Lord_Card(0.01%)
1059,MISTRESS,Mistress,74,212000,39325,27170,19662,880,1110,40,60,165,95,70,소형,곤충,바람,Rough_Wind,15.00%,Royal_Jelly,40.00%,Scarlet_Jewel,30.00%,Gungnir(1.50%) / Honey(100.00%) / Coronet(2.50%) / Old_Card_Album(10.00%) / Young_Twig(0.10%) / Elunium(42.68%) / Red_Square_Bag(1.00%) / Mistress_Card(0.01%)
1190,ORC_LORD,Orc Lord,74,783000,62205,8580,31102,3700,4150,40,5,82,70,110,대형,인간형,땅,Voucher_Of_Orcish_Hero,55.00%,Old_Violet_Box,20.00%,,,Brood_Axe(4.00%) / Ring_(4.00%) / Loard_Circlet(4.00%) / Doom_Slayer_(4.00%) / Old_Violet_Box(10.00%) / Elunium(42.68%) / Erde(31.00%) / Orc_Load_Card(0.01%)
1087,ORK_HERO,Orc Hero,77,585700,58630,32890,29315,2257,2542,40,45,91,70,105,대형,인간형,땅,Red_Jewel,20.00%,Yggdrasilberry,15.00%,Steel,50.00%,Voucher_Of_Orcish_Hero(97.00%) / Monkey_Circlet(5.00%) / Right_Epsilon(1.50%) / Shield_(2.50%) / Orcish_Sword(10.00%) / Elunium(45.59%) / Giant_Axe(1.00%) / Orc_Hero_Card(0.01%)
1251,KNIGHT_OF_WINDSTORM,Stormy Knight,77,240000,64350,21450,32175,1425,1585,35,60,185,55,130,대형,무형,바람,Skyblue_Jewel,45.00%,Boots_,5.00%,Mistic_Frozen,30.00%,Zephyrus(1.50%) / Old_Blue_Box(30.00%) / Old_Violet_Box(40.00%) / Ring_(2.00%) / Manteau_(5.00%) / Elunium(45.59%) / Loard_Circlet(0.01%) / Knight_Windstorm_Card(0.01%)
1038,OSIRIS,Osiris,78,415400,71500,28600,35750,780,2880,10,25,75,37,86,중형,언데드,불사,Old_Blue_Box,40.00%,Seed_Of_Yggdrasil,30.00%,Osiris_Doll,5.00%,Old_Violet_Box(20.00%) / Assasin_Dagger(1.50%) / Crown(2.00%) / Jamadhar_(6.00%) / Sacred_Marks(10.00%) / Spinx_Helm(1.50%) / Cakram(1.00%) / Osiris_Card(0.01%)
1658,B_YGNIZEM,Egnigem Cenia,79,214200,258760,86000,129380,3890,5690,48,25,60,31,110,중형,인간형,불,Old_Violet_Box,55.00%,Old_Blue_Box,50.00%,Crystal_Jewel__,20.00%,Broad_Sword_(10.00%) / Gift_Box(50.00%) / Old_Blue_Box(50.00%) / Schweizersabel(10.00%) / Formal_Suit(10.00%) / Boots_(10.00%) / Nagan(10.00%) / B_Ygnizem_Card(0.01%)
1272,DARK_LORD,Dark Lord,80,720000,65780,45045,32890,2800,3320,30,70,120,118,99,대형,악마,불사,Skull,60.00%,Blue_Coif_,5.00%,Old_Violet_Box,20.00%,Bone_Wand(8.00%) / Kronos(1.00%) / Grimtooth_(3.00%) / Mage_Coat(3.00%) / Cape_Of_Ancient_Lord(1.00%) / Elunium(51.41%) / Bone_Helm_(0.10%) / Dark_Lord_Card(0.01%)
1871,FALLINGBISHOP,Fallen Bishop Hibram,80,3333333,1111111,1111111,555555,3220,5040,50,0,80,126,120,중형,악마,어둠,Yggdrasilberry,55.00%,Seed_Of_Yggdrasil,35.00%,Crystal_Jewel__,20.00%,Holy_Water(100.00%) / Long_Horn(10.00%) / Spiritual_Ring(5.00%) / Hunting_Spear(10.00%) / Elunium(54.32%) / Blessed_Wand(20.00%) / Fallen_Bishop_Card(0.01%)
1039,BAPHOMET,Baphomet,81,668000,107250,37895,53625,3220,4040,35,45,152,85,120,대형,악마,어둠,Yggdrasilberry,20.00%,Baphomet_Doll,5.00%,Evil_Horn,50.00%,Crescent_Scythe(4.00%) / Magestic_Goat(3.00%) / Crescent_Scythe_(0.50%) / Emperium(5.00%) / Magestic_Goat_(0.10%) / Elunium(54.32%) / Oridecon(41.71%) / Baphomet_Card(0.01%)
1147,MAYA,Maya,81,169000,42900,17875,21450,1800,2070,60,25,97,95,82,대형,곤충,땅,Crystal_Jewel,20.00%,Old_Blue_Box,30.00%,Old_Violet_Box,20.00%,Queen's_Hair_Ornament(5.00%) / Safety_Ring(2.00%) / Tiara(2.00%) / Armlet_Of_Obedience(5.00%) / Mother's_Nightmare(0.10%) / Elunium(35.00%) / Dea_Staff(1.00%) / Maya_Card(0.01%)
1785,ATROCE,Atroce,82,1008420,295550,118895,147775,2526,3646,25,25,87,49,89,대형,동물,어둠,Yggdrasilberry,55.00%,Old_Violet_Box,50.00%,Old_Violet_Box,50.00%,Bloody_Rune(70.00%) / Seed_Of_Yggdrasil(10.00%) / Ring_(10.00%) / Old_Violet_Box(50.00%) / Yggdrasilberry(50.00%) / Ulle_Cap(1.00%) / Altas_Weapon(1.00%) / Atroce_Card(0.01%)
1389,DRACULA,Dracula,85,320096,120157,38870,60078,1625,1890,45,76,95,87,85,대형,악마,어둠,Yggdrasilberry,55.00%,Crystal_Jewel__,50.00%,Fruit_Of_Mastela,50.00%,Yggdrasilberry(47.00%) / Wizardy_Staff(0.05%) / Balistar(0.05%) / Cape_Of_Ancient_Lord(0.15%) / Ring_(0.04%) / Book_Of_The_Apocalypse(0.04%) / Dracula_Card(0.01%)
