게임ID,게임한글명,게임Lv,상태,CSV_ID,CSV영문명,CSV_Lv,드롭수,비고
9,새끼 데저트 울프,6,확정,1107,Baby Desert Wolf,9,8,
19,파밀리어,8,확정,1005,Familiar,8,8,
108,수컷 도둑벌레,12,확정,1054,Thief Bug Male,19,8,
109,암컷 도둑벌레,14,확정,1053,Thief Bug Female,10,8,
34,새비지 베베,16,확정,1167,Savage Babe,7,8,
42,타라프로그,19,확정,1034,Thara Frog,22,7,
33,오크 베이비,22,확정,1686,Orc Baby,21,7,
27,고블린,25,확정,1122,Goblin,25,8,
32,오크 레이디,26,확정,1273,Orc Lady,31,8,
49,본건,27,확정,1188,Bongun,32,8,
35,새비지,32,확정,1166,Savage,26,8,
128,오크 스켈레톤,32,확정,1152,Orc Skeleton,28,7,
73,펜,32,확정,1158,Phen,26,7,
47,아르기오페,38,확정,1099,Argiope,41,7,
134,피트맨,40,확정,1616,Pitman,43,8,
68,샌드맨,42,확정,1165,Sandman,34,8,
75,소드피쉬,44,확정,1069,Swordfish,30,8,
130,오크 아처,45,확정,1189,Orc Archer,49,8,
381,코볼트(도끼),48,확정,1133,Kobold,36,7,
382,코볼트(모닝스타),48,확정,1133,Kobold,36,7,
72,스터락타이트 고렘,54,확정,1278,Stalactic Golem,60,7,
141,바토리,55,확정,1102,Bathory,44,8,
151,아크로우즈,55,확정,1194,Arclouze,59,8,
148,시계탑 관리자,58,확정,1270,Clock Tower Manager,63,8,
365,파이어락 솔져,58,확정,1403,Firelock Soldier,47,8,
373,테디베어,60,확정,1622,Teddy Bear,71,8,
212,혈호접,62,확정,1408,Bloody Butterfly,55,7,
78,반어인,63,확정,1264,Merman,53,8,
211,인면도화,63,확정,1513,Mao Guai,62,6,
193,드리어드,64,확정,1493,Dryad,50,8,
356,방황하는 자,65,확정,1208,Wanderer,74,8,
93,아크앙겔링,65,확정,1388,Arc Angeling,60,8,
226,카하오,65,확정,1072,Kaho,60,8,
213,요선녀,66,확정,1512,Yao Jun,56,6,
215,아크담,67,확정,1979,Zakudam,82,7,
214,신선초,68,확정,1401,Shinobi,69,8,
192,우탄 슈터,68,확정,1883,Uzhas,61,7,
174,리비오,69,확정,1201,Rybio,71,8,
224,딜리터(지상),70,확정,1384,Deleter,66,5,
225,딜리터(공중),71,확정,1384,Deleter,66,5,
208,엑스큐서너,72,확정,1205,Executioner,65,8,
276,플레임 스컬,74,확정,1869,Flame Skull,60,5,
327,아르마이아 딘제(일반),75,확정,1654,Armeyer Dinze,66,8,
315,위로하는 자,75,확정,1703,Lady Solace,77,8,
326,이그니젬 세니아(일반),75,확정,1658,Egnigem Cenia,79,8,
236,호드렘림,75,확정,1773,Hodremlin,61,8,
328,위케바인 트레스(일반),76,확정,1653,Wickebine Tres,62,8,
317,지키는 자,78,확정,1702,Baroness of Retribution,79,8,
89,심연의 기사,80,확정,1219,Abysmal Knight,79,8,
297,블루 어시더스,82,확정,1713,Acidus,80,8,
401,모로크 인카네이션,83,확정,1920,Incarnation of Morocc,96,7,
298,골드 어시더스,84,확정,1713,Acidus,80,8,
319,타나토스의 슬픔,84,확정,1707,Dolor of Thanatos,83,7,
291,스케골트(청),85,확정,1755,Skeggiold,83,8,
256,백소진,87,확정,1839,Byorgue,86,8,
321,타나토스의 절망,88,확정,1705,Despero of Thanatos,88,7,
310,하이드롤랜서,89,확정,1720,Hydrolancer,89,8,
322,타나토스의 증오,90,확정,1704,Odium of Thanatos,92,7,
331,스나이퍼 세실(일반),92,확정,1638,Cecil Damon,82,8,
332,하이프리스트 마가레타(일반),92,확정,1637,Margaretha Sorin,90,8,
333,화이트스미스 하워드(일반),92,확정,1636,Howard Alt-Eisen,83,8,
270,글룸 언더 나이트,93,확정,1768,Gloom Under Night,89,7,
221,키엘-D-01,94,확정,1734,Kiel D-01,90,8,
336,모로크의 현신(골렘형),95,확정,1920,Incarnation of Morocc,96,7,
