ID,이름(영),무기종류,ATK,MATK,슬롯,필요레벨,무기레벨,무게,구매가,판매가,정련,사용직업,효과(요약)
13157,Drifter,개틀링건,50,0,1,55,2,230,80000,0,○,건슬링거,
13158,Butcher,개틀링건,75,0,0,68,3,250,130000,0,○,건슬링거,"bonus2 bCriticalAddRace,RC_Brute,10;
bonus2 bCriticalAddRace,RC_Player_Doram,10;"
13159,Butcher,개틀링건,75,0,1,68,3,250,130000,0,○,건슬링거,"bonus2 bCriticalAddRace,RC_Brute,10;
bonus2 bCriticalAddRace,RC_Player_Doram,10;"
13172,Soldier Gatling Gun,개틀링건,80,0,0,80,3,0,0,0,○,건슬링거,DEX+2
13177,Glorious Gatling Gun,개틀링건,90,0,0,80,4,0,0,0,○,건슬링거,"bonus2 bAddRace,RC_DemiHuman,35;
bonus2 bAddRace,RC_Player_Human,35;
bonus2 bIgn"
1828,Monk Knuckle,너클,150,0,0,0,4,0,20,0,×,"몽크, 프리스트",INT+2
1801,Waghnak,너클,30,0,3,1,1,40,8000,0,○,"몽크, 프리스트",
1802,Waghnak,너클,30,0,4,1,1,40,8000,0,○,"몽크, 프리스트",
1817,Kaiser Knuckle,너클,159,0,0,1,4,0,1,0,×,"몽크, 프리스트",ASPD+5%
1829,Fist,너클,150,0,0,1,3,0,0,0,×,"몽크, 프리스트","bonus2 bAddSize,Size_All,40;
"
1803,Knuckle Dusters,너클,50,0,2,12,2,45,25000,0,○,"몽크, 프리스트",
1804,Knuckle Dusters,너클,50,0,3,12,2,45,25000,0,○,"몽크, 프리스트",
1805,Studded Knuckles,너클,65,0,2,12,2,45,32000,0,○,"몽크, 프리스트",
1806,Studded Knuckles,너클,65,0,3,12,2,45,32000,0,○,"몽크, 프리스트",
1807,Fist,너클,115,0,0,24,3,65,53000,0,○,"몽크, 프리스트",
1808,Fist,너클,115,0,1,24,3,65,53000,0,○,"몽크, 프리스트",
1809,Claw,너클,86,0,1,24,3,50,67000,0,○,"몽크, 프리스트",STR+2
1810,Claw,너클,86,0,2,24,3,50,67000,0,○,"몽크, 프리스트",STR+2
1811,Finger,너클,97,0,1,24,3,50,58000,0,○,"몽크, 프리스트",
1812,Finger,너클,97,0,2,24,3,50,58000,0,○,"몽크, 프리스트",
1813,Kaiser Knuckle,너클,110,0,0,36,4,45,20,0,○,"몽크, 프리스트","bonus bAtkEle,Ele_Wind;
bonus2 bAddRace,RC_Undead,5;
bonus2 bAddEle,Ele_Water,10"
1814,Berserk,너클,120,0,0,36,4,50,20,0,○,"몽크, 프리스트",ASPD+12%
1816,Berserk,너클,120,0,1,36,4,50,20,0,○,"몽크, 프리스트",ASPD+12%
1822,Combo Battle Glove,너클,30,0,4,60,3,50,20,0,○,"몽크, 프리스트","bonus2 bSkillAtk,""MO_TRIPLEATTACK"",15;
bonus2 bSkillAtk,""MO_CHAINCOMBO"",15;
bonu"
1825,Horn of Hillslion,너클,95,0,3,60,3,60,20,0,○,몽크,"bonus3 bAutoSpell,""NPC_CRITICALWOUND"",1,100;
bonus4 bAutoSpellOnSkill,""CH_PALMST"
1815,Hatii Claw,너클,152,0,1,70,4,55,20,0,○,"몽크, 프리스트","bonus bAtkEle,Ele_Dark;
bonus bMaxHPrate,-2;
bonus2 bAddEff,Eff_Bleeding,200;
"
1818,Magma Fist,너클,80,0,3,75,3,65,20,0,○,"몽크, 프리스트","bonus3 bAutoSpell,""SA_FLAMELAUNCHER"",5,10;
"
1819,Icicle Fist,너클,80,0,3,75,3,65,20,0,○,"몽크, 프리스트","bonus3 bAutoSpell,""SA_FROSTWEAPON"",5,10;
"
1820,Electric Fist,너클,80,0,3,75,3,65,20,0,○,"몽크, 프리스트","bonus3 bAutoSpell,""SA_LIGHTNINGLOADER"",5,10;
"
1821,Seismic Fist,너클,80,0,3,75,3,65,20,0,○,"몽크, 프리스트","bonus3 bAutoSpell,""SA_SEISMICWEAPON"",5,10;
"
1823,Valorous Battle Fist,너클,30,0,0,80,3,0,20,0,○,"몽크, 프리스트","STR+2, AGI+1"
1824,Brave Battle Fist,너클,30,0,0,80,3,0,20,0,○,"몽크, 프리스트","STR+2, INT+1"
1826,Glorious Claw,너클,30,0,0,80,4,0,20,0,○,"몽크, 프리스트","bonus2 bAddRace,RC_DemiHuman,95;
bonus2 bAddRace,RC_Player_Human,95;
bonus2 bIgn"
1827,Glorious Fist,너클,30,0,0,80,4,0,20,0,○,"몽크, 프리스트","bonus2 bAddRace,RC_DemiHuman,95;
bonus2 bAddRace,RC_Player_Human,95;
bonus2 bIgn"
13024,Refined Swordbreaker,단검,105,0,0,0,4,0,2,0,×,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bBreakWeaponRate,500;
"
13025,Refined Mailbreaker,단검,105,0,0,0,4,0,2,0,×,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bBreakArmorRate,500;
"
13026,Moonlight Dagger,단검,85,0,0,0,4,0,2,0,×,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus bMaxSPrate,10;
bonus bSPDrainValue,3;
"
13029,Prinsense Knife,단검,120,0,0,0,1,0,20,0,×,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드","bonus2 bAddClass,Class_All,50;
"
13043,Fortune Sword,단검,120,0,0,0,4,0,0,0,×,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드",LUK+5
13044,Ice Pick,단검,105,0,0,0,4,0,0,0,×,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 로그, 세이지, SoulLinker, 소드맨, 도둑, 위저드",
13045,Kamaitachi,단검,155,0,0,0,4,0,0,0,×,닌자,
1201,Knife,단검,17,0,3,1,1,40,50,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
1202,Knife,단검,17,0,4,1,1,40,50,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
1203,Knife,단검,17,0,0,1,1,40,50,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
1204,Cutter,단검,30,0,3,1,1,50,1250,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
1205,Cutter,단검,30,0,4,1,1,50,1250,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
1206,Cutter,단검,30,0,0,1,1,50,1250,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
1207,Main Gauche,단검,43,0,3,1,1,60,2400,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
1208,Main Gauche,단검,43,0,4,1,1,60,2400,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드",
