ID,이름(영),이름(한)
13157,Drifter,드리프터
13158,Butcher,붓쳐
13159,Butcher,붓쳐
13172,Soldier Gatling Gun,전장개틀링건
13177,Glorious Gatling Gun,크리거개틀링건
1828,Monk Knuckle,수도승의너클
1801,Waghnak,바그낙
1802,Waghnak,바그낙
1817,Kaiser Knuckle,카이저너클
1829,Fist,피스트
1803,Knuckle Dusters,너클더스터
1804,Knuckle Dusters,너클더스터
1805,Studded Knuckles,호라
1806,Studded Knuckles,호라
1807,Fist,피스트
1808,Fist,피스트
1809,Claw,크로
1810,Claw,크로
1811,Finger,핑거
1812,Finger,핑거
1813,Kaiser Knuckle,카이저너클
1814,Berserk,베르세르크
1816,Berserk,베르세르크
1822,Combo Battle Glove,연격의투갑
1825,Horn of Hillslion,혼오브힐스리온
1815,Hatii Claw,가름의발톱
1818,Magma Fist,마그마피스트
1819,Icicle Fist,아이시클피스트
1820,Electric Fist,일렉트릭피스트
1821,Seismic Fist,사이즈믹피스트
1823,Valorous Battle Fist,전장너클
1824,Brave Battle Fist,전장너클
1826,Glorious Claw,크리거너클
1827,Glorious Fist,크리거너클
13024,Refined Swordbreaker,소드브레이커
13025,Refined Mailbreaker,메일브레이커
13026,Moonlight Dagger,월광검
13029,Prinsense Knife,프린센스나이프
13043,Fortune Sword,포츈소드
13044,Ice Pick,송곳
13045,Kamaitachi,카마이타치
1201,Knife,나이프
1202,Knife,나이프
1203,Knife,나이프
1204,Cutter,커터
1205,Cutter,커터
1206,Cutter,커터
1207,Main Gauche,망고슈
1208,Main Gauche,망고슈
1209,Main Gauche,망고슈
1240,Princess Knife,프린세스나이프
1243,Novice Main-Gauche,초보자용망고슈
1247,Kindle Dagger,불쏘시개단검
1248,Obsidian Dagger,흑요석단검
1249,Fisherman's Dagger,어부의단검
13000,Jujube Dagger,대추나무단검
13021,Combat Knife,컴뱃나이프
13022,Dagger of Counter,카운터단검
13023,Ashura,아슈라
13040,Novice Cutter,초보커터
13041,Novice Main Gauche,초보망고슈
13048,Damascus,다마스커스
1210,Dirk,더크
1211,Dirk,더크
1212,Dirk,더크
1213,Dagger,대거
1214,Dagger,대거
1215,Dagger,대거
1216,Stiletto,스틸레토
1217,Stiletto,스틸레토
1218,Stiletto,스틸레토
13010,Asura,아슈라
13011,Asura,아슈라
1219,Gladius,그라디우스
1220,Gladius,그라디우스
1221,Gladius,그라디우스
1222,Damascus,다마스커스
1223,Fortune Sword,포츈소드
1226,Damascus,다마스커스
13012,Murasame,무라사메
13013,Murasame,무라사메
1245,Cinquedea,친퀘디아
1246,Cinquedea,친퀘디아
13007,Jitte,짓테
13008,Jitte,짓테
1224,Swordbreaker,소드브레이커
1225,Mailbreaker,메일브레이커
1227,Weeder Knife,위더나이프
1228,Combat Knife,컴뱃나이프
1229,Kitchen Knife,식칼
1230,Ice Pick,송곳
1231,Bazerald,바제랄드
1232,Assassin Dagger,어새신대거
1233,Exorciser,액서사이즈
1234,Moonlight Dagger,월광검
1235,Azoth,아조스
1236,Sucsamad,수크사마드
1237,Grimtooth,그림투스
13017,Ice Pick,송곳
13018,Sucsamad,수크사마드
13031,Swordbreaker,소드브레이커
13032,Mailbreaker,메일브레이커
13033,Assassin Dagger,어새신대거
13014,Hakujin,하쿠진
13015,Hakujin,하쿠진
13020,Warrior's Balmung,용사의발뭉
13005,Angelic Wing Dagger,
13039,Ivory Knife,아이보리나이프
13046,Krierg,크리그
13047,Weihna,바이나
1242,Dagger of Counter,카운터단검
1244,Holy Dagger,홀리대거
13003,Cowardice Blade,코워드
13004,Cowardice Blade,코워드
13027,Scalpel,메스
13028,Tooth Blade,투스블레이드
13001,Dragon Killer,드래곤킬러
13030,Dragon Killer,드래곤킬러
1239,Poison Knife,포이즌나이프
13006,Khukri,고쿠린
13016,Poison Knife,포이즌나이프
1238,Zeny Knife,제니나이프
13002,Ginnungagap,간눙가가프
13009,Kamaitachi,카마이타치
13019,Ginnungagap,간눙가가프
13034,Desert Twilight,사막의황혼
13035,Sandstorm,모래폭풍
13038,Dagger of Hunter,추적자의단검
13036,Brave Assassin's Damascus,전장단검
13037,Valorous Assassin's Damascus,전장단검
13042,Glorious Gladius,크리거단검
1241,Cursed Dagger,저주받은단검
1534,Wrench,스패너
1536,Good Morning Star,굿모닝스타
1537,Refined Quadrille,쿼드릴
1547,Mace Of Madness,광기의둔기
1599,Angra Manyu,앙그라마이뉴
16002,Stunner,스터너
1501,Club,클럽
1502,Club,클럽
1503,Club,클럽
1504,Mace,메이스
1505,Mace,메이스
1506,Mace,메이스
1545,Novice Mace,초보메이스
1507,Smasher,스매셔
