ID,이름(영),슬롯,DEF,카드슬롯,필요레벨,무게,구매가,판매가,정련,사용직업,효과(요약)
2301,Cotton Shirt,갑옷,1,0,0,10,10,0,○,전직업,
2302,Cotton Shirt,갑옷,1,1,0,10,10,0,○,전직업,
2303,Jacket,갑옷,2,0,0,20,200,0,○,전직업,
2304,Jacket,갑옷,2,1,0,20,200,0,○,전직업,
2305,Adventurer's Suit,갑옷,3,0,0,30,1000,0,○,전직업,
2306,Adventurer's Suit,갑옷,3,1,0,30,1000,0,○,전직업,
2307,Mantle,갑옷,4,0,0,60,10000,0,○,All,
2308,Mantle,갑옷,4,1,0,60,10000,0,○,All,
2309,Coat,갑옷,5,0,0,120,22000,0,○,All,
2310,Coat,갑옷,5,1,0,120,22000,0,○,All,
2312,Padded Armor,갑옷,7,0,0,280,48000,0,○,"알케미스트, 어쌔신, 블랙스미스, 크루세이더, 기사, 상인, 로그, 소드맨, 도둑",
2313,Padded Armor,갑옷,7,1,0,280,48000,0,○,"알케미스트, 어쌔신, 블랙스미스, 크루세이더, 기사, 상인, 로그, 소드맨, 도둑",
2314,Chain Mail,갑옷,8,0,0,330,65000,0,○,"알케미스트, 어쌔신, 블랙스미스, 크루세이더, 기사, 상인, 로그, 소드맨, 도둑",
2315,Chain Mail,갑옷,8,1,0,330,65000,0,○,"알케미스트, 어쌔신, 블랙스미스, 크루세이더, 기사, 상인, 로그, 소드맨, 도둑",
2320,Formal Suit,갑옷,5,1,0,30,20,0,○,All,
2321,Silk Robe,갑옷,3,0,0,40,8000,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, Mage, 상인, 몽크, 프리스트, 세이지, SoulLinker, 소드맨, 위저드",MDEF+10
2322,Silk Robe,갑옷,3,1,0,40,8000,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, Mage, 상인, 몽크, 프리스트, 세이지, SoulLinker, 소드맨, 위저드",MDEF+10
2323,Scapulare,갑옷,4,0,0,40,6500,0,○,"복사, 몽크, 프리스트",
2324,Scapulare,갑옷,4,1,0,40,6500,0,○,"복사, 몽크, 프리스트",
2325,Saint's Robe,갑옷,6,0,0,60,54000,0,○,"복사, 알케미스트, 블랙스미스, 상인, 몽크, 프리스트",MDEF+5
2326,Saint's Robe,갑옷,6,1,0,60,54000,0,○,"복사, 알케미스트, 블랙스미스, 상인, 몽크, 프리스트",MDEF+5
2328,Wooden Mail,갑옷,4,0,0,100,5500,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",
2329,Wooden Mail,갑옷,4,1,0,100,5500,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",
2332,Silver Robe,갑옷,4,0,0,70,7000,0,○,"Mage, 세이지, SoulLinker, 위저드",
2333,Silver Robe,갑옷,4,1,0,70,7000,0,○,"Mage, 세이지, SoulLinker, 위저드",
2335,Thief Clothes,갑옷,6,0,0,10,74000,0,○,"어쌔신, 닌자, 로그, 도둑",AGI+1
