ID,이름(영),슬롯,한글이름
2301,Cotton Shirt,갑옷,코튼셔츠
2302,Cotton Shirt,갑옷,코튼셔츠_
2303,Jacket,갑옷,가죽재킷
2304,Jacket,갑옷,가죽재킷_
2305,Adventurer's Suit,갑옷,어드밴쳐슈츠
2306,Adventurer's Suit,갑옷,어드밴쳐슈츠_
2307,Mantle,갑옷,맨틀
2308,Mantle,갑옷,맨틀_
2309,Coat,갑옷,롱코트
2310,Coat,갑옷,롱코트_
2312,Padded Armor,갑옷,아머
2313,Padded Armor,갑옷,아머_
2314,Chain Mail,갑옷,메일
2315,Chain Mail,갑옷,메일_
2320,Formal Suit,갑옷,포멀드레스
2321,Silk Robe,갑옷,실크로브
2322,Silk Robe,갑옷,실크로브_
2323,Scapulare,갑옷,스캐퓰러
2324,Scapulare,갑옷,스캐퓰러_
2325,Saint's Robe,갑옷,세인트로브
2326,Saint's Robe,갑옷,세인트로브_
2328,Wooden Mail,갑옷,우든메일
2329,Wooden Mail,갑옷,우든메일_
2332,Silver Robe,갑옷,실버로브
2333,Silver Robe,갑옷,실버로브_
2335,Thief Clothes,갑옷,씨프클로스
2336,Thief Clothes,갑옷,씨프클로스_
2338,Wedding Dress,갑옷,웨딩드레스
2339,Pantie,갑옷,삼각팬티
2352,Tattered Novice Ninja Suit,갑옷,초보자용갑옷
2368,Golden Armor,갑옷,황금갑옷
2369,Freyja Overcoat,갑옷,프레이야의외투
2370,Used Mage Coat,갑옷,유성매직코트
2371,Pantie,갑옷,삼각팬티_
2384,Spiritual Tunic,갑옷,스피리츄얼튜닉
2385,Recuperative Armor,갑옷,리큐퍼레이티브아머
2392,Old Green Pantie,갑옷,오래된팬티
2393,Novice Adventurer's Suit,갑옷,초보어드밴쳐슈츠
2396,Glorious Mass-Production Suit,갑옷,크리거슈트3
2397,Incredible Event Resignation Coat,갑옷,인크레디블외투
2399,Dragon Vest,갑옷,드래곤베스트
15001,Odin's Blessing,갑옷,오딘의축복_I
2357,Valkyrian Armor,갑옷,발키리의갑옷
2358,Angel's Dress,갑옷,천사의예복
2340,Novice Breastplate,갑옷,초보자용흉갑
2311,Mink Coat,갑옷,밍크코트
2316,Full Plate,갑옷,플레이트
2317,Full Plate,갑옷,플레이트_
2355,Angelic Protection,갑옷,천사의가호
2330,Tights,갑옷,타이즈
2331,Tights,갑옷,타이즈_
2344,Lucius's Fierce Armor of Volcano,갑옷,불의갑옷
2345,Lucius's Fierce Armor of Volcano,갑옷,불의갑옷_
2346,Saphien's Armor of Ocean,갑옷,물의갑옷
2347,Saphien's Armor of Ocean,갑옷,물의갑옷_
2348,Aebecee's Raging Typhoon Armor,갑옷,바람의갑옷
2349,Aebecee's Raging Typhoon Armor,갑옷,바람의갑옷_
2350,Claytos Cracking Earth Armor,갑옷,땅의갑옷
2351,Claytos Cracking Earth Armor,갑옷,땅의갑옷_
2334,Mage Coat,갑옷,매직코트
2337,Ninja Suit,갑옷,닌자슈츠
2359,Ninja Suit,갑옷,닌자슈츠_
2367,Sniping Suit,갑옷,스나이핑슈츠
2372,Mage Coat,갑옷,매직코트_
2398,Sniping Suit,갑옷,스나이핑슈츠_M
2354,Goibne's Armor,갑옷,게브네이의갑옷
2364,Meteo Plate Armor,갑옷,메테오플레이트
2365,Orleans's Gown,갑옷,오를레앙의제복
2366,Divine Cloth,갑옷,디바인클로스
2374,Diabolus Robe,갑옷,마왕의로브
2375,Diabolus Armor,갑옷,마왕의아머
2319,Glittering Jacket,갑옷,글리터링클로스
2327,Holy Robe,갑옷,홀리로브
2373,Holy Robe,갑옷,홀리로브_
2395,Glorious Popularized Suit,갑옷,크리거슈트2
2353,Odin's Blessing,갑옷,오딘의축복
2318,Lord's Clothes,갑옷,로드클로스
2341,Legion Plate Armor,갑옷,풀플레이트아머
2342,Legion Plate Armor,갑옷,풀플레이트아머_
2356,Blessed Holy Robe,갑옷,은혜의성의
2386,Chameleon Armor,갑옷,카멜레온아머
2387,Sprint Mail,갑옷,스프린트메일
2388,Kandura,갑옷,칸두라
2389,Armor of Naga,갑옷,나가의비늘갑옷
2343,Robe of Cast,갑옷,캐스팅의로브
2360,Robe of Cast,갑옷,캐스팅의로브_
2390,Improved Tights,갑옷,개량형타이즈
2376,Assaulter Plate,갑옷,돌격대장플레이트
2377,Elite Engineer Armor,갑옷,정예공병의갑옷
2378,Assassin Robe,갑옷,암살자의로브
2379,Warlock's Battle Robe,갑옷,워락의전투로브
2380,Medic's Robe,갑옷,위생병의로브
2381,Elite Archer Suit,갑옷,정예궁병의슈츠
